244: 17.791142, 19.965771 avg, 0.000004 rate, 6.781803 seconds, 15616 images
245: 20.750757, 20.044270 avg, 0.000004 rate, 6.295746 seconds, 15680 images
246: 14.732442, 19.513086 avg, 0.000004 rate, 6.330924 seconds, 15744 images
247: 16.240589, 19.185837 avg, 0.000004 rate, 6.344515 seconds, 15808 images
248: 22.323570, 19.499611 avg, 0.000004 rate, 6.449966 seconds, 15872 images
249: 20.347189, 19.584370 avg, 0.000004 rate, 6.582476 seconds, 15936 images
250: 13.219216, 18.947855 avg, 0.000004 rate, 6.480780 seconds, 16000 images
251: 14.718149, 18.524885 avg, 0.000004 rate, 3.806690 seconds, 16064 images
252: 23.141071, 18.986504 avg, 0.000004 rate, 4.126678 seconds, 16128 images
253: 18.972067, 18.985060 avg, 0.000004 rate, 3.914844 seconds, 16192 images
254: 21.229868, 19.209541 avg, 0.000004 rate, 3.691820 seconds, 16256 images
255: 22.215899, 19.510178 avg, 0.000004 rate, 3.712766 seconds, 16320 images
256: 19.185371, 19.477697 avg, 0.000004 rate, 3.735212 seconds, 16384 images
257: 20.231749, 19.553102 avg, 0.000004 rate, 3.914172 seconds, 16448 images
258: 21.292614, 19.727055 avg, 0.000004 rate, 3.723134 seconds, 16512 images
259: 18.760710, 19.630421 avg, 0.000004 rate, 3.618703 seconds, 16576 images
260: 14.958785, 19.163258 avg, 0.000005 rate, 3.972402 seconds, 16640 images
261: 19.014160, 19.148348 avg, 0.000005 rate, 7.173751 seconds, 16704 images
262: 12.675457, 18.501059 avg, 0.000005 rate, 7.032730 seconds, 16768 images
263: 16.852089, 18.336163 avg, 0.000005 rate, 7.372294 seconds, 16832 images
264: 19.004246, 18.402971 avg, 0.000005 rate, 7.153048 seconds, 16896 images
265: 25.486584, 19.111332 avg, 0.000005 rate, 7.151173 seconds, 16960 images
266: 17.207399, 18.920938 avg, 0.000005 rate, 7.074233 seconds, 17024 images
267: 13.863765, 18.415220 avg, 0.000005 rate, 7.119445 seconds, 17088 images
268: 13.344857, 17.908184 avg, 0.000005 rate, 7.133495 seconds, 17152 images
269: 20.279118, 18.145277 avg, 0.000005 rate, 7.022365 seconds, 17216 images
270: 20.781500, 18.408899 avg, 0.000005 rate, 7.435432 seconds, 17280 images
271: 18.448257, 18.412834 avg, 0.000005 rate, 3.023615 seconds, 17344 images
272: 15.182261, 18.089777 avg, 0.000005 rate, 3.341506 seconds, 17408 images
273: 12.425863, 17.523386 avg, 0.000006 rate, 3.104953 seconds, 17472 images
274: 16.586901, 17.429737 avg, 0.000006 rate, 2.967823 seconds, 17536 images
275: 15.497826, 17.236546 avg, 0.000006 rate, 3.043096 seconds, 17600 images
276: 13.687943, 16.881685 avg, 0.000006 rate, 3.223150 seconds, 17664 images
277: 15.311611, 16.724678 avg, 0.000006 rate, 3.251377 seconds, 17728 images
278: 25.627974, 17.615007 avg, 0.000006 rate, 3.115702 seconds, 17792 images
279: 15.915285, 17.445036 avg, 0.000006 rate, 3.157094 seconds, 17856 images
280: 16.330956, 17.333628 avg, 0.000006 rate, 3.146651 seconds, 17920 images
281: 12.141136, 16.814379 avg, 0.000006 rate, 3.197581 seconds, 17984 images
282: 22.257622, 17.358704 avg, 0.000006 rate, 3.285485 seconds, 18048 images
283: 13.940768, 17.016911 avg, 0.000006 rate, 3.259021 seconds, 18112 images
284: 17.228811, 17.038101 avg, 0.000007 rate, 3.079985 seconds, 18176 images
285: 14.887891, 16.823080 avg, 0.000007 rate, 3.498024 seconds, 18240 images
286: 15.753963, 16.716167 avg, 0.000007 rate, 3.285077 seconds, 18304 images
287: 16.283098, 16.672861 avg, 0.000007 rate, 3.157814 seconds, 18368 images
288: 20.329151, 17.038490 avg, 0.000007 rate, 3.319102 seconds, 18432 images
